Antecedente;Valor;Consequente;Valor;Conf;Lift;Lev;Conv
alterar-carga-bt veriftensao-fornec ;30;vistoria-bt ;12;0,4;140,39;0;1,57
alterar-carga-bt vistoria-bt ;7659;dados-do-atendimento ;12;0;3,68;0;1
alterar-carga-bt vistoria-bt ;7659;determ-judicial ;12;0;9,99;0;1
alterar-carga-bt vistoria-bt ;7659;veriftensao-fornec ;12;0;2,09;0;1
arrecad--tesouraria ;1118;modifmanut-medic-bt substituicao-bt ;12;0,01;11,77;0;1,01
arrecad--tesouraria ;1118;verif-instalacao-bt modifmanut-medic-bt ;12;0,01;15,72;0;1,01
corte-bt ;489093;negativacao sugestoes ;12;0;2,55;0;1
corte-bt sugestoes ;38;negativacao ;12;0,32;1,62;0;1,13
dados-do-atendimento ;1989;alterar-carga-bt vistoria-bt ;12;0,01;3,68;0;1
dados-do-atendimento ;1989;modifmanut-medic-bt afericao-bt ;12;0,01;17,08;0;1,01
dados-do-atendimento ;1989;processo substituicao-bt ;12;0,01;20,64;0;1,01
dados-do-atendimento ;1989;reclamacao retificacao-nome-end ;12;0,01;21,27;0;1,01
dados-do-atendimento ;1989;ren fiscalizacao-bt ;12;0,01;2,21;0;1
determ-judicial ;733;alterar-carga-bt ;12;0,02;5,63;0;1,01
determ-judicial ;733;alterar-carga-bt vistoria-bt ;12;0,02;9,99;0;1,01
fiscalizacao-bt ;64097;ren dados-do-atendimento ;12;0;5,47;0;1
fiscalizacao-bt dados-do-atendimento ;79;ren ;12;0,15;2,31;0;1,09
modifmanut-medic-bt ;49414;afericao-bt dados-do-atendimento ;12;0;8,73;0;1
modifmanut-medic-bt ;49414;processo retificacao-nome-end ;12;0;6,52;0;1
modifmanut-medic-bt ;49414;ren acompanhamento-bt ;12;0;5,91;0;1
modifmanut-medic-bt ;49414;substituicao-bt arrecad--tesouraria ;12;0;15,34;0;1
modifmanut-medic-bt ;49414;verif-instalacao-bt arrecad--tesouraria ;12;0;11,24;0;1
modifmanut-medic-bt acompanhamento-bt ;127;ren ;12;0,09;1,44;0;1,02
modifmanut-medic-bt afericao-bt ;1651;dados-do-atendimento ;12;0,01;17,08;0;1,01
modifmanut-medic-bt arrecad--tesouraria ;53;substituicao-bt ;12;0,23;41,43;0;1,26
modifmanut-medic-bt arrecad--tesouraria ;53;verif-instalacao-bt ;12;0,23;17,19;0;1,25
modifmanut-medic-bt dados-do-atendimento ;95;afericao-bt ;12;0,13;21,8;0;1,12
modifmanut-medic-bt retificacao-nome-end ;198;processo ;12;0,06;3,54;0;1,04
modifmanut-medic-bt substituicao-bt ;4263;arrecad--tesouraria ;12;0;11,77;0;1
negativacao ;913226;corte-bt sugestoes ;12;0;1,62;0;1
negativacao corte-bt ;304318;sugestoes ;12;0;1,07;0;1
negativacao sugestoes ;45;corte-bt ;12;0,27;2,55;0;1,19
processo ;79963;modifmanut-medic-bt retificacao-nome-end ;12;0;3,54;0;1
processo ;79963;substituicao-bt dados-do-atendimento ;12;0;9,61;0;1
processo ;79963;verif-instalacao-bt retirada-bt ;12;0;3,75;0;1
processo dados-do-atendimento ;203;substituicao-bt ;12;0,06;10,82;0;1,05
processo modifmanut-medic-bt ;2221;retificacao-nome-end ;12;0,01;3,8;0;1
processo retificacao-nome-end ;174;modifmanut-medic-bt ;12;0,07;6,52;0;1,06
processo retirada-bt ;139;verif-instalacao-bt ;12;0,09;6,55;0;1,07
processo substituicao-bt ;1366;dados-do-atendimento ;12;0,01;20,64;0;1,01
processo verif-instalacao-bt ;2925;retirada-bt ;12;0;9,67;0;1
reclamacao ;207044;alterar-carga-bt veriftensao-fornec ;12;0;9,03;0;1
reclamacao ;207044;retificacao-nome-end dados-do-atendimento ;12;0;16,93;0;1
reclamacao alterar-carga-bt ;2044;veriftensao-fornec ;12;0,01;7,85;0;1
reclamacao dados-do-atendimento ;875;retificacao-nome-end ;12;0,01;9,66;0;1,01
reclamacao retificacao-nome-end ;1326;dados-do-atendimento ;12;0,01;21,27;0;1,01
reclamacao veriftensao-fornec ;738;alterar-carga-bt ;12;0,02;5,59;0;1,01
ren ;306902;fiscalizacao-bt dados-do-atendimento ;12;0;2,31;0;1
ren ;306902;modifmanut-medic-bt acompanhamento-bt ;12;0;1,44;0;1
ren acompanhamento-bt ;192;modifmanut-medic-bt ;12;0,06;5,91;0;1,05
ren dados-do-atendimento ;160;fiscalizacao-bt ;12;0,08;5,47;0;1,06
ren fiscalizacao-bt ;12739;dados-do-atendimento ;12;0;2,21;0;1
ren modifmanut-medic-bt ;7112;acompanhamento-bt ;12;0;2,26;0;1
retificacao-nome-end ;6637;processo modifmanut-medic-bt ;12;0;3,8;0;1
retificacao-nome-end ;6637;reclamacao dados-do-atendimento ;12;0;9,66;0;1
retificacao-nome-end ;6637;verif-instalacao-bt solicitacaoouvidoria ;12;0;5,6;0;1
retificacao-nome-end dados-do-atendimento ;16;reclamacao ;12;0,75;16,93;0;3,06
retirada-bt ;1983;processo verif-instalacao-bt ;12;0,01;9,67;0;1
solicitacaoouvidoria ;13841;sugestoes ;12;0;23,42;0;1
solicitacaoouvidoria ;13841;verif-instalacao-bt retificacao-nome-end ;12;0;12,91;0;1
solicitacaoouvidoria ;13841;verif-instalacao-bt veriftensao-fornec ;12;0;54,03;0;1
solicitacaoouvidoria retificacao-nome-end ;112;verif-instalacao-bt ;12;0,11;8,13;0;1,09
solicitacaoouvidoria veriftensao-fornec ;188;verif-instalacao-bt ;12;0,06;4,85;0;1,05
substituicao-bt ;25541;modifmanut-medic-bt arrecad--tesouraria ;12;0;41,43;0;1
substituicao-bt ;25541;processo dados-do-atendimento ;12;0;10,82;0;1
substituicao-bt arrecad--tesouraria ;74;modifmanut-medic-bt ;12;0,16;15,34;0;1,16
substituicao-bt dados-do-atendimento ;73;processo ;12;0,16;9,61;0;1,16
sugestoes ;173;negativacao corte-bt ;12;0,07;1,07;0;1
sugestoes ;173;solicitacaoouvidoria ;12;0,07;23,42;0;1,06
verif-instalacao-bt ;61563;modifmanut-medic-bt arrecad--tesouraria ;12;0;17,19;0;1
verif-instalacao-bt ;61563;processo retirada-bt ;12;0;6,55;0;1
verif-instalacao-bt ;61563;solicitacaoouvidoria retificacao-nome-end ;12;0;8,13;0;1
verif-instalacao-bt ;61563;solicitacaoouvidoria veriftensao-fornec ;12;0;4,85;0;1
verif-instalacao-bt arrecad--tesouraria ;101;modifmanut-medic-bt ;12;0,12;11,24;0;1,11
verif-instalacao-bt modifmanut-medic-bt ;3192;arrecad--tesouraria ;12;0;15,72;0;1
verif-instalacao-bt retificacao-nome-end ;314;solicitacaoouvidoria ;12;0,04;12,91;0;1,03
verif-instalacao-bt retirada-bt ;187;processo ;12;0,06;3,75;0;1,04
verif-instalacao-bt solicitacaoouvidoria ;1508;retificacao-nome-end ;12;0,01;5,6;0;1,01
verif-instalacao-bt solicitacaoouvidoria ;1508;veriftensao-fornec ;12;0,01;10,64;0;1,01
verif-instalacao-bt veriftensao-fornec ;75;solicitacaoouvidoria ;12;0,16;54,03;0;1,17
veriftensao-fornec ;3497;alterar-carga-bt vistoria-bt ;12;0;2,09;0;1
veriftensao-fornec ;3497;reclamacao alterar-carga-bt ;12;0;7,85;0;1
veriftensao-fornec ;3497;verif-instalacao-bt solicitacaoouvidoria ;12;0;10,64;0;1
vistoria-bt ;13317;alterar-carga-bt dados-do-atendimento ;12;0;221,67;0;1
vistoria-bt ;13317;alterar-carga-bt determ-judicial ;12;0;350,98;0;1
vistoria-bt ;13317;alterar-carga-bt veriftensao-fornec ;12;0;140,39;0;1
vistoria-bt dados-do-atendimento ;19;alterar-carga-bt ;12;0,63;217,28;0;2,37
vistoria-bt determ-judicial ;18;alterar-carga-bt ;12;0,67;229,35;0;2,56
vistoria-bt veriftensao-fornec ;17;alterar-carga-bt ;12;0,71;242,84;0;2,83
acompanhamento-bt ;3497;religacao-bt substituicao-bt ;11;0;3,18;0;1
acompanhamento-bt ;3497;retificacao-nome-end ;11;0;2,22;0;1
acompanhamento-bt ;3497;solicitacaoouvidoria vistoria-bt ;11;0;84,98;0;1
afericao-bt ;27085;modifmanut-medic-bt retificacao-nome-end ;11;0;9,59;0;1
afericao-bt ;27085;modifmanut-medic-bt veriftensao-fornec ;11;0;12,91;0;1
afericao-bt ;27085;ren retificacao-nome-end ;11;0;4,32;0;1
afericao-bt retificacao-nome-end ;121;modifmanut-medic-bt ;11;0,09;8,6;0;1,08
afericao-bt retificacao-nome-end ;121;ren ;11;0,09;1,38;0;1,02
afericao-bt veriftensao-fornec ;113;modifmanut-medic-bt ;11;0,1;9,21;0;1,09
alterar-carga-bt ;13586;corte-bt retificacao-nome-end ;11;0;4,41;0;1
alterar-carga-bt retificacao-nome-end ;81;corte-bt ;11;0,14;1,3;0;1,02
arrecad--tesouraria ;1118;dados-do-atendimento ;11;0,01;23,12;0;1,01
arrecad--tesouraria ;1118;ren modifmanut-medic-bt ;11;0,01;6,47;0;1,01
corte-bt ;489093;alterar-carga-bt retificacao-nome-end ;11;0;1,3;0;1
corte-bt ;489093;substituicao-bt veriftensao-fornec ;11;0;1,64;0;1
corte-bt alterar-carga-bt ;1023;retificacao-nome-end ;11;0,01;7,57;0;1,01
corte-bt retificacao-nome-end ;858;alterar-carga-bt ;11;0,01;4,41;0;1,01
corte-bt substituicao-bt ;4344;veriftensao-fornec ;11;0;3,38;0;1
corte-bt veriftensao-fornec ;343;substituicao-bt ;11;0,03;5,87;0;1,02
dados-do-atendimento ;1989;arrecad--tesouraria ;11;0,01;23,12;0;1
dados-do-atendimento ;1989;reclamacao vistoria-bt ;11;0,01;17,27;0;1
determ-judicial ;733;processo vistoria-bt ;11;0,02;254,14;0;1,01
determ-judicial ;733;religacao-bt toi ;11;0,02;17,93;0;1,01
ligacao-nova-bt ;874;ren reclamacao ;11;0,01;3,79;0;1,01
modifmanut-medic-bt ;49414;afericao-bt retificacao-nome-end ;11;0;8,6;0;1
modifmanut-medic-bt ;49414;afericao-bt veriftensao-fornec ;11;0;9,21;0;1
modifmanut-medic-bt ;49414;ren arrecad--tesouraria ;11;0;10,95;0;1
modifmanut-medic-bt ;49414;solicitacaoouvidoria vistoria-bt ;11;0;6,01;0;1
modifmanut-medic-bt afericao-bt ;1651;retificacao-nome-end ;11;0,01;4,69;0;1
modifmanut-medic-bt afericao-bt ;1651;veriftensao-fornec ;11;0,01;8,91;0;1,01
modifmanut-medic-bt arrecad--tesouraria ;53;ren ;11;0,21;3,16;0;1,15
modifmanut-medic-bt retificacao-nome-end ;198;afericao-bt ;11;0,06;9,59;0;1,05
modifmanut-medic-bt solicitacaoouvidoria ;902;vistoria-bt ;11;0,01;4,28;0;1,01
modifmanut-medic-bt veriftensao-fornec ;147;afericao-bt ;11;0,07;12,91;0;1,07
modifmanut-medic-bt vistoria-bt ;672;solicitacaoouvidoria ;11;0,02;5,53;0;1,01
negativacao ;913226;religacao-bt sugestoes ;11;0;1,52;0;1
negativacao religacao-bt ;236137;sugestoes ;11;0;1,26;0;1
negativacao sugestoes ;45;religacao-bt ;11;0,24;2,98;0;1,18
processo ;79963;vistoria-bt determ-judicial ;11;0;35,72;0;1
processo determ-judicial ;529;vistoria-bt ;11;0,02;7,3;0;1,02
processo vistoria-bt ;276;determ-judicial ;11;0,04;254,14;0;1,04
reclamacao ;207044;ren ligacao-nova-bt ;11;0;7,3;0;1
reclamacao ;207044;vistoria-bt dados-do-atendimento ;11;0;13,07;0;1
reclamacao dados-do-atendimento ;875;vistoria-bt ;11;0,01;4,41;0;1,01
reclamacao ligacao-nova-bt ;103;ren ;11;0,11;1,63;0;1,03
reclamacao vistoria-bt ;1497;dados-do-atendimento ;11;0,01;17,27;0;1,01
religacao-bt ;383478;negativacao sugestoes ;11;0;2,98;0;1
religacao-bt ;383478;substituicao-bt acompanhamento-bt ;11;0;2,06;0;1
religacao-bt ;383478;toi determ-judicial ;11;0;7,45;0;1
religacao-bt acompanhamento-bt ;309;substituicao-bt ;11;0,04;6,51;0;1,03
religacao-bt determ-judicial ;347;toi ;11;0,03;4,26;0;1,02
religacao-bt substituicao-bt ;4622;acompanhamento-bt ;11;0;3,18;0;1
religacao-bt sugestoes ;37;negativacao ;11;0,3;1,52;0;1,1
religacao-bt toi ;3912;determ-judicial ;11;0;17,93;0;1
ren ;306902;afericao-bt retificacao-nome-end ;11;0;1,38;0;1
ren ;306902;modifmanut-medic-bt arrecad--tesouraria ;11;0;3,16;0;1
ren ;306902;reclamacao ligacao-nova-bt ;11;0;1,63;0;1
ren afericao-bt ;1966;retificacao-nome-end ;11;0,01;3,94;0;1
ren arrecad--tesouraria ;95;modifmanut-medic-bt ;11;0,12;10,95;0;1,11
ren ligacao-nova-bt ;34;reclamacao ;11;0,32;7,3;0;1,35
ren modifmanut-medic-bt ;7112;arrecad--tesouraria ;11;0;6,47;0;1
ren reclamacao ;15503;ligacao-nova-bt ;11;0;3,79;0;1
ren retificacao-nome-end ;439;afericao-bt ;11;0,03;4,32;0;1,02
retificacao-nome-end ;6637;acompanhamento-bt ;11;0;2,22;0;1
retificacao-nome-end ;6637;corte-bt alterar-carga-bt ;11;0;7,57;0;1
retificacao-nome-end ;6637;modifmanut-medic-bt afericao-bt ;11;0;4,69;0;1
retificacao-nome-end ;6637;ren afericao-bt ;11;0;3,94;0;1
solicitacaoouvidoria ;13841;modifmanut-medic-bt vistoria-bt ;11;0;5,53;0;1
solicitacaoouvidoria ;13841;vistoria-bt acompanhamento-bt ;11;0;11,83;0;1
solicitacaoouvidoria acompanhamento-bt ;58;vistoria-bt ;11;0,19;66,56;0;1,2
solicitacaoouvidoria vistoria-bt ;173;acompanhamento-bt ;11;0,06;84,98;0;1,06
solicitacaoouvidoria vistoria-bt ;173;modifmanut-medic-bt ;11;0,06;6,01;0;1,05
substituicao-bt ;25541;corte-bt veriftensao-fornec ;11;0;5,87;0;1
substituicao-bt ;25541;religacao-bt acompanhamento-bt ;11;0;6,51;0;1
substituicao-bt ;25541;verif-instalacao-bt veriftensao-fornec ;11;0;26,84;0;1
substituicao-bt acompanhamento-bt ;65;religacao-bt ;11;0,17;2,06;0;1,08
substituicao-bt veriftensao-fornec ;64;corte-bt ;11;0,17;1,64;0;1,06
substituicao-bt veriftensao-fornec ;64;verif-instalacao-bt ;11;0,17;13,05;0;1,17
sugestoes ;173;negativacao religacao-bt ;11;0,06;1,26;0;1,01
toi ;34778;religacao-bt determ-judicial ;11;0;4,26;0;1
toi determ-judicial ;18;religacao-bt ;11;0,61;7,45;0;2,07
verif-instalacao-bt ;61563;substituicao-bt veriftensao-fornec ;11;0;13,05;0;1
verif-instalacao-bt substituicao-bt ;5846;veriftensao-fornec ;11;0;2,51;0;1
verif-instalacao-bt veriftensao-fornec ;75;substituicao-bt ;11;0,15;26,84;0;1,15
veriftensao-fornec ;3497;corte-bt substituicao-bt ;11;0;3,38;0;1
veriftensao-fornec ;3497;modifmanut-medic-bt afericao-bt ;11;0;8,91;0;1
veriftensao-fornec ;3497;verif-instalacao-bt substituicao-bt ;11;0;2,51;0;1
vistoria-bt ;13317;modifmanut-medic-bt solicitacaoouvidoria ;11;0;4,28;0;1
vistoria-bt ;13317;processo determ-judicial ;11;0;7,3;0;1
vistoria-bt ;13317;reclamacao dados-do-atendimento ;11;0;4,41;0;1
vistoria-bt ;13317;solicitacaoouvidoria acompanhamento-bt ;11;0;66,56;0;1
vistoria-bt acompanhamento-bt ;314;solicitacaoouvidoria ;11;0,04;11,83;0;1,03
vistoria-bt dados-do-atendimento ;19;reclamacao ;11;0,58;13,07;0;2,02
vistoria-bt determ-judicial ;18;processo ;11;0,61;35,72;0;2,21
acompanhamento-bt ;3497;corte-bt substituicao-bt ;10;0;3,08;0;1
acompanhamento-bt ;3497;fiscalizacao-bt solicitacaoouvidoria ;10;0;24,08;0;1
acompanhamento-bt ;3497;religacao-bt solicitacaoouvidoria ;10;0;3,62;0;1
afericao-bt ;27085;modifmanut-medic-bt arrecad--tesouraria ;10;0;32,56;0;1
afericao-bt ;27085;processo alterar-carga-bt ;10;0;7,67;0;1
afericao-bt alterar-carga-bt ;145;processo ;10;0,07;4,03;0;1,05
afericao-bt arrecad--tesouraria ;100;modifmanut-medic-bt ;10;0,1;9,46;0;1,09
alterar-carga-bt ;13586;processo afericao-bt ;10;0;1,31;0;1
alterar-carga-bt ;13586;processo solicitacaoouvidoria ;10;0;2,42;0;1
alterar-carga-bt ;13586;reclamacao dados-do-atendimento ;10;0;3,93;0;1
alterar-carga-bt ;13586;substituicao-bt solicitacaoouvidoria ;10;0;6,47;0;1
alterar-carga-bt dados-do-atendimento ;19;reclamacao ;10;0,53;11,88;0;1,82
arrecad--tesouraria ;1118;fiscalizacao-bt verif-instalacao-bt ;10;0,01;23,83;0;1,01
arrecad--tesouraria ;1118;modifmanut-medic-bt afericao-bt ;10;0,01;25,32;0;1,01
arrecad--tesouraria ;1118;ren substituicao-bt ;10;0,01;18,06;0;1,01
arrecad--tesouraria ;1118;verif-instalacao-bt solicitacaoouvidoria ;10;0,01;27,72;0;1,01
corte-bt ;489093;substituicao-bt acompanhamento-bt ;10;0;1,47;0;1
corte-bt ;489093;toi dados-do-atendimento ;10;0;2,81;0;1
corte-bt ;489093;verif-instalacao-bt ligacao-nova-bt ;10;0;1,84;0;1
corte-bt acompanhamento-bt ;229;substituicao-bt ;10;0,04;7,99;0;1,04
corte-bt dados-do-atendimento ;769;toi ;10;0,01;1,75;0;1
corte-bt ligacao-nova-bt ;66;verif-instalacao-bt ;10;0,15;11,5;0;1,14
corte-bt substituicao-bt ;4344;acompanhamento-bt ;10;0;3,08;0;1
corte-bt toi ;10567;dados-do-atendimento ;10;0;2,22;0;1
corte-bt verif-instalacao-bt ;11365;ligacao-nova-bt ;10;0;4,71;0;1
dados-do-atendimento ;1989;corte-bt toi ;10;0,01;2,22;0;1
dados-do-atendimento ;1989;reclamacao alterar-carga-bt ;10;0,01;11,5;0;1
determ-judicial ;733;verif-instalacao-bt toi ;10;0,01;59,59;0;1,01
fiscalizacao-bt ;64097;processo retificacao-nome-end ;10;0;4,19;0;1
fiscalizacao-bt ;64097;religacao-bt ligacao-nova-bt ;10;0;8,01;0;1
fiscalizacao-bt ;64097;solicitacaoouvidoria acompanhamento-bt ;10;0;12,57;0;1
fiscalizacao-bt ;64097;verif-instalacao-bt arrecad--tesouraria ;10;0;7,22;0;1
fiscalizacao-bt acompanhamento-bt ;402;solicitacaoouvidoria ;10;0,02;8,4;0;1,02
fiscalizacao-bt arrecad--tesouraria ;54;verif-instalacao-bt ;10;0,19;14,06;0;1,18
fiscalizacao-bt ligacao-nova-bt ;47;religacao-bt ;10;0,21;2,59;0;1,14
fiscalizacao-bt retificacao-nome-end ;143;processo ;10;0,07;4,09;0;1,05
fiscalizacao-bt solicitacaoouvidoria ;555;acompanhamento-bt ;10;0,02;24,08;0;1,02
fiscalizacao-bt verif-instalacao-bt ;1754;arrecad--tesouraria ;10;0,01;23,83;0;1
ligacao-nova-bt ;874;corte-bt verif-instalacao-bt ;10;0,01;4,71;0;1,01
ligacao-nova-bt ;874;religacao-bt fiscalizacao-bt ;10;0,01;1,9;0;1
modifmanut-medic-bt ;49414;afericao-bt arrecad--tesouraria ;10;0;9,46;0;1
modifmanut-medic-bt afericao-bt ;1651;arrecad--tesouraria ;10;0,01;25,32;0;1,01
modifmanut-medic-bt arrecad--tesouraria ;53;afericao-bt ;10;0,19;32,56;0;1,2
processo ;79963;afericao-bt alterar-carga-bt ;10;0;4,03;0;1
processo ;79963;fiscalizacao-bt retificacao-nome-end ;10;0;4,09;0;1
processo ;79963;solicitacaoouvidoria alterar-carga-bt ;10;0;2,89;0;1
processo ;79963;solicitacaoouvidoria vistoria-bt ;10;0;3,38;0;1
processo afericao-bt ;2627;alterar-carga-bt ;10;0;1,31;0;1
processo alterar-carga-bt ;225;afericao-bt ;10;0,04;7,67;0;1,04
processo alterar-carga-bt ;225;solicitacaoouvidoria ;10;0,04;15,01;0;1,04
processo fiscalizacao-bt ;2926;retificacao-nome-end ;10;0;2,41;0;1
processo retificacao-nome-end ;174;fiscalizacao-bt ;10;0,06;4,19;0;1,04
processo solicitacaoouvidoria ;1420;alterar-carga-bt ;10;0,01;2,42;0;1
processo solicitacaoouvidoria ;1420;vistoria-bt ;10;0,01;2,47;0;1
processo vistoria-bt ;276;solicitacaoouvidoria ;10;0,04;12,24;0;1,03
reclamacao ;207044;alterar-carga-bt dados-do-atendimento ;10;0;11,88;0;1
reclamacao alterar-carga-bt ;2044;dados-do-atendimento ;10;0;11,5;0;1
reclamacao dados-do-atendimento ;875;alterar-carga-bt ;10;0,01;3,93;0;1,01
religacao-bt ;383478;fiscalizacao-bt ligacao-nova-bt ;10;0;2,59;0;1
religacao-bt ;383478;solicitacaoouvidoria acompanhamento-bt ;10;0;2,1;0;1
religacao-bt acompanhamento-bt ;309;solicitacaoouvidoria ;10;0,03;10,93;0;1,03
religacao-bt fiscalizacao-bt ;28078;ligacao-nova-bt ;10;0;1,9;0;1
religacao-bt ligacao-nova-bt ;91;fiscalizacao-bt ;10;0,11;8,01;0;1,09
religacao-bt solicitacaoouvidoria ;3697;acompanhamento-bt ;10;0;3,62;0;1
ren ;306902;substituicao-bt arrecad--tesouraria ;10;0;2,06;0;1
ren arrecad--tesouraria ;95;substituicao-bt ;10;0,11;19,26;0;1,1
ren substituicao-bt ;2315;arrecad--tesouraria ;10;0;18,06;0;1
retificacao-nome-end ;6637;processo fiscalizacao-bt ;10;0;2,41;0;1
solicitacaoouvidoria ;13841;fiscalizacao-bt acompanhamento-bt ;10;0;8,4;0;1
solicitacaoouvidoria ;13841;processo alterar-carga-bt ;10;0;15,01;0;1
solicitacaoouvidoria ;13841;processo vistoria-bt ;10;0;12,24;0;1
solicitacaoouvidoria ;13841;religacao-bt acompanhamento-bt ;10;0;10,93;0;1
solicitacaoouvidoria ;13841;substituicao-bt alterar-carga-bt ;10;0;14,01;0;1
solicitacaoouvidoria ;13841;toi substituicao-bt ;10;0;23,45;0;1
solicitacaoouvidoria ;13841;verif-instalacao-bt arrecad--tesouraria ;10;0;33,43;0;1
solicitacaoouvidoria acompanhamento-bt ;58;fiscalizacao-bt ;10;0,17;12,57;0;1,17
solicitacaoouvidoria acompanhamento-bt ;58;religacao-bt ;10;0,17;2,1;0;1,09
solicitacaoouvidoria alterar-carga-bt ;202;processo ;10;0,05;2,89;0;1,03
solicitacaoouvidoria alterar-carga-bt ;202;substituicao-bt ;10;0,05;9,06;0;1,04
solicitacaoouvidoria arrecad--tesouraria ;51;verif-instalacao-bt ;10;0,2;14,89;0;1,2
solicitacaoouvidoria vistoria-bt ;173;processo ;10;0,06;3,38;0;1,04
substituicao-bt ;25541;corte-bt acompanhamento-bt ;10;0;7,99;0;1
substituicao-bt ;25541;ren arrecad--tesouraria ;10;0;19,26;0;1
substituicao-bt ;25541;solicitacaoouvidoria alterar-carga-bt ;10;0;9,06;0;1
substituicao-bt ;25541;toi solicitacaoouvidoria ;10;0;5,53;0;1
substituicao-bt acompanhamento-bt ;65;corte-bt ;10;0,15;1,47;0;1,04
substituicao-bt alterar-carga-bt ;241;solicitacaoouvidoria ;10;0,04;14,01;0;1,04
substituicao-bt arrecad--tesouraria ;74;ren ;10;0,14;2,06;0;1,06
substituicao-bt solicitacaoouvidoria ;532;alterar-carga-bt ;10;0,02;6,47;0;1,01
substituicao-bt solicitacaoouvidoria ;532;toi ;10;0,02;2,53;0;1,01
toi ;34778;corte-bt dados-do-atendimento ;10;0;1,75;0;1
toi ;34778;substituicao-bt solicitacaoouvidoria ;10;0;2,53;0;1
toi ;34778;verif-instalacao-bt determ-judicial ;10;0;4,87;0;1
toi dados-do-atendimento ;34;corte-bt ;10;0,29;2,81;0;1,22
toi determ-judicial ;18;verif-instalacao-bt ;10;0,56;42,18;0;1,97
toi solicitacaoouvidoria ;331;substituicao-bt ;10;0,03;5,53;0;1,02
toi substituicao-bt ;144;solicitacaoouvidoria ;10;0,07;23,45;0;1,06
verif-instalacao-bt ;61563;corte-bt ligacao-nova-bt ;10;0;11,5;0;1
verif-instalacao-bt ;61563;fiscalizacao-bt arrecad--tesouraria ;10;0;14,06;0;1
verif-instalacao-bt ;61563;solicitacaoouvidoria arrecad--tesouraria ;10;0;14,89;0;1
verif-instalacao-bt ;61563;toi determ-judicial ;10;0;42,18;0;1
verif-instalacao-bt arrecad--tesouraria ;101;fiscalizacao-bt ;10;0,1;7,22;0;1,08
verif-instalacao-bt arrecad--tesouraria ;101;solicitacaoouvidoria ;10;0,1;33,43;0;1,09
verif-instalacao-bt determ-judicial ;276;toi ;10;0,04;4,87;0;1,03
verif-instalacao-bt ligacao-nova-bt ;52;corte-bt ;10;0,19;1,84;0;1,08
verif-instalacao-bt solicitacaoouvidoria ;1508;arrecad--tesouraria ;10;0,01;27,72;0;1,01
verif-instalacao-bt toi ;1070;determ-judicial ;10;0,01;59,59;0;1,01
vistoria-bt ;13317;processo solicitacaoouvidoria ;10;0;2,47;0;1
acompanhamento-bt ;3497;substituicao-bt vistoria-bt ;9;0;66,09;0;1
acompanhamento-bt ;3497;veriftensao-fornec ;9;0;3,44;0;1
afericao-bt ;27085;fiscalizacao-bt arrecad--tesouraria ;9;0;28,76;0;1
afericao-bt ;27085;processo veriftensao-fornec ;9;0;10,64;0;1
afericao-bt ;27085;solicitacaoouvidoria vistoria-bt ;9;0;8,98;0;1
afericao-bt ;27085;substituicao-bt veriftensao-fornec ;9;0;24,27;0;1
afericao-bt arrecad--tesouraria ;100;fiscalizacao-bt ;9;0,09;6,56;0;1,07
afericao-bt solicitacaoouvidoria ;1335;vistoria-bt ;9;0,01;2,37;0;1
afericao-bt substituicao-bt ;2901;veriftensao-fornec ;9;0;4,15;0;1
afericao-bt veriftensao-fornec ;113;processo ;9;0,08;4,66;0;1,06
afericao-bt veriftensao-fornec ;113;substituicao-bt ;9;0,08;14,58;0;1,07
afericao-bt vistoria-bt ;144;solicitacaoouvidoria ;9;0,06;21,11;0;1,06
arrecad--tesouraria ;1118;determ-judicial ;9;0,01;51,33;0;1,01
arrecad--tesouraria ;1118;fiscalizacao-bt afericao-bt ;9;0,01;37,81;0;1,01
arrecad--tesouraria ;1118;reclamacao dados-do-atendimento ;9;0,01;43;0;1,01
corte-bt ;489093;fiscalizacao-bt ligacao-nova-bt ;9;0;1,83;0;1
corte-bt ;489093;retificacao-nome-end dados-do-atendimento ;9;0;5,38;0;1
corte-bt dados-do-atendimento ;769;retificacao-nome-end ;9;0,01;8,24;0;1,01
corte-bt fiscalizacao-bt ;46776;ligacao-nova-bt ;9;0;1,03;0;1
corte-bt ligacao-nova-bt ;66;fiscalizacao-bt ;9;0,14;9,94;0;1,12
corte-bt retificacao-nome-end ;858;dados-do-atendimento ;9;0,01;24,65;0;1,01
dados-do-atendimento ;1989;corte-bt retificacao-nome-end ;9;0;24,65;0;1
dados-do-atendimento ;1989;modifmanut-medic-bt substituicao-bt ;9;0;4,96;0;1
dados-do-atendimento ;1989;negativacao veriftensao-fornec ;9;0;20,69;0;1
dados-do-atendimento ;1989;processo fiscalizacao-bt ;9;0;7,23;0;1
dados-do-atendimento ;1989;reclamacao arrecad--tesouraria ;9;0;47,31;0;1
dados-do-atendimento ;1989;solicitacaoouvidoria veriftensao-fornec ;9;0;112,5;0;1
dados-do-atendimento arrecad--tesouraria ;11;reclamacao ;9;0,82;18,47;0;3,5
desligamento-bt ;9259;negativacao retirada-bt ;9;0;9,41;0;1
desligamento-bt retirada-bt ;23;negativacao ;9;0,39;2;0;1,23
determ-judicial ;733;arrecad--tesouraria ;9;0,01;51,33;0;1,01
fiscalizacao-bt ;64097;afericao-bt arrecad--tesouraria ;9;0;6,56;0;1
